"","Resp_RR","Resp_DET","Resp_NRLINE","Resp_maxL","Resp_L","Resp_ENTR","Resp_rENTR","Resp_LAM","Resp_TT","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_rENTR","HR_LAM","HR_TT","Study","Group","Trial","Condition","Filename","Pair"
"1",49.9042151036835,99.1869878197624,104223,167,13.3724897575391,3.31574373193207,0.669059612733333,99.5676602770533,18.4937409948315,25.0370313175501,98.6612435611532,28380,253,23.8980267794221,3.61401044085133,0.683401654998628,99.4335415002859,25.4121124247156,"Study1","G1","T3","SelfPaced","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study1_G1_T3_SelfPaced.csv","Real"
"2",47.4979341807133,99.3462577188162,193474,167,12.1722246916898,3.24979940306487,0.66251118435804,99.7784017420753,17.9613094786082,22.9069322732267,98.5372206479194,45261,430,24.4233887894655,3.7566016882485,0.698866440643948,99.5400401306072,27.1268553382728,"Study1","G2","T3","SelfPaced","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study1_G2_T3_SelfPaced.csv","Real"
"3",44.50773149481,99.3644279781341,182776,157,11.5729690987876,3.22185206250942,0.646490043671425,99.8177838970571,16.0454274301334,23.9369838066518,98.429409349992,63443,237,17.4231830146746,2.95388554046161,0.553417230257382,99.3870974348563,21.0325437654286,"Study1","G3","T2","TurnTaking","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study1_G3_T2_TurnTaking.csv","Real"
"4",49.5332542679692,99.6281886087474,103289,275,15.308445236182,3.5080354183045,0.663997755608504,99.7943412335115,19.7679884175185,14.2910325782164,94.8432308180798,39389,140,10.7683871131534,2.40283220050573,0.502776754768755,98.6581488222746,19.6244718231553,"Study1","G4","T1","Synchronous","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study1_G4_T1_Synchronous.csv","Real"
"5",50.4586052107918,99.5986646612128,65584,342,16.5586728470359,3.54502247813642,0.685626815891586,99.8871015077589,24.2513694054776,20.7904739995837,94.5731781351013,39766,151,10.3814313735352,2.13218679084188,0.432100122472246,99.1022113686294,20.2280931450482,"Study1","G4","T2","SelfPaced","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study1_G4_T2_SelfPaced.csv","Real"
"6",48.3231682352171,99.3485252325561,93073,229,15.1182190323724,3.53286174019982,0.696106550990521,99.7881136038692,19.8695908899199,17.8159952802624,97.2636889163698,34521,160,14.3537267170708,2.91259871825579,0.596501509672753,99.1828362237337,20.4228608382846,"Study1","G4","T3","TurnTaking","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study1_G4_T3_TurnTaking.csv","Real"
"7",48.0679571537231,99.5038699597533,211267,175,12.9534759332977,3.32337336814019,0.667782031377828,99.7596614462418,18.0596552200786,26.4581818725173,98.9423040721159,52096,276,28.2488482800983,3.84828728281192,0.702160338719286,99.5313920278825,31.5518755328218,"Study2","G1","T1","Conversation","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G10_T1_Conversation.csv","Real"
"8",49.3670547588953,99.6381810348093,167230,214,16.8294982957603,3.63958657593324,0.693647775554157,99.7429031971414,20.9109633269255,21.5956515188359,98.0060624531519,56313,246,21.1287446948307,3.56581017109274,0.686662776811147,99.091455730089,22.8368578913398,"Study2","G1","T2","TurnTaking","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G10_T2_TurnTaking.csv","Real"
"9",53.132829890046,99.5772811391272,162639,268,18.6131924077251,3.70484706529035,0.706085395138061,99.7706311869219,23.2796761071456,23.8194327955129,98.5497105022019,52118,285,25.3199086687901,3.85186159156103,0.703887256544773,99.4855280973053,27.6082649423858,"Study2","G1","T3","Synchronous","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G10_T3_Synchronous.csv","Real"
"10",53.5105696524647,99.5647835594336,165135,314,18.4598661701032,3.67968956552881,0.685744691222558,99.845771704889,27.8463563490618,27.4804456563484,98.4044426262192,53344,166,28.4981066286743,3.27169241856273,0.640761331135679,98.8919974211122,40.6074902982298,"Study2","G5","T1","Synchronous","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G5_T1_Synchronous.csv","Real"
"11",45.8166365588752,99.5027225141276,205450,184,12.6962180579216,3.32430670390155,0.659136722928523,99.7095145708102,15.4474262750428,29.1499759589771,97.9702289671064,67401,178,23.8193053515526,3.22393746970028,0.622844708183737,98.9185986268442,37.4292509467073,"Study2","G5","T2","TurnTaking","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G5_T2_TurnTaking.csv","Real"
"12",46.3812100815427,99.6063346694165,191236,200,13.8223451651363,3.41573743009526,0.652966260170891,99.8229692999826,17.7163923572331,12.676351976229,96.9593850290267,43027,117,16.0585446347642,3.06380650296286,0.661054079050512,98.3472234111075,21.5683203052871,"Study2","G5","T3","Conversation","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G5_T3_Conversation.csv","Real"
