"","Resp_RR","Resp_DET","Resp_NRLINE","Resp_maxL","Resp_L","Resp_ENTR","Resp_rENTR","Resp_LAM","Resp_TT","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_rENTR","HR_LAM","HR_TT","Study","Group","Trial","Condition","Filename"
"1",41.8561171076508,99.5218190338559,78645,146,14.8251128488779,3.5222948200668,0.727117833642924,99.7883951061994,23.0867547445544,7.2784977249459,99.4375556689785,8307,68,23.9217527386541,3.8396789588374,0.913188978697226,99.6927572782498,28.7403346797461,"Study1","G1","T3","SelfPaced","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study1_G1_T3_SelfPaced.csv"
"2",24.1292188032423,97.9565348676978,157024,96,7.47878031383737,2.7290360423565,0.634060122990581,98.75672104674,8.26162896180202,43.0369449392112,99.567248887164,44856,333,46.7843097913323,4.53150038467239,0.787300788762812,99.7471625172346,71.4161627827977,"Study1","G2","T3","SelfPaced","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study1_G2_T3_SelfPaced.csv"
"3",1.29410618164954,97.9046969844516,11970,23,5.03951545530493,2.14915575399609,0.695285097641122,98.581491219528,5.45781292119687,12.1939288372557,98.5516138336086,42986,164,13.1158749360257,2.61085852068522,0.51701642916889,98.9742782978054,14.9856288376032,"Study1","G3","T2","TurnTaking","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study1_G3_T2_TurnTaking.csv"
"4",35.8835926527474,99.6451599360466,71193,176,16.0026266627337,3.52454233868122,0.734924160088117,99.9188337245874,41.0449466460676,2.63213480323938,98.6851849603613,4930,76,16.4880324543611,3.482863306542,0.811769311495874,99.5107382631815,37.929662193429,"Study1","G4","T1","Synchronous","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study1_G4_T1_Synchronous.csv"
"5",30.2894617293154,99.1764090573468,49576,105,13.004800710021,3.27797172561341,0.733998917694022,99.8983202067438,35.9291286307054,0.698227901396503,96.1527967257845,1365,45,10.3267399267399,2.62201876297756,0.692887782228462,98.9017735334243,18.5646606914213,"Study1","G4","T2","SelfPaced","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study1_G4_T2_SelfPaced.csv"
"6",27.8442705850578,98.9889565410309,65470,66,12.2672521765694,3.2797193818396,0.785676835853707,99.928759829418,49.0894889803827,0.569508942357022,97.8876266502917,1531,29,10.412148922273,3.03476898276878,0.910739113851453,98.5323917715689,17.0702127659574,"Study1","G4","T3","TurnTaking","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study1_G4_T3_TurnTaking.csv"
"7",53.4988519190581,99.8209787218268,132866,311,22.9011485255822,3.95394816016875,0.733077715542808,99.9001719352243,26.4622643968821,34.8444697909383,99.2360239346835,59120,410,32.8800067658999,3.8219378381265,0.656346851240038,99.7138088992874,39.869871402327,"Study2","G1","T1","Conversation","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G10_T1_Conversation.csv"
"8",10.2725119252816,99.4527630086246,56007,54,10.3933615440927,3.16609300491277,0.797445899155597,99.6509506171152,11.3760410368434,6.4043221543318,98.812036841579,17098,100,20.8065855655632,3.78759705771396,0.841723836163046,99.4064350550513,27.8883347619419,"Study2","G1","T2","TurnTaking","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G10_T2_TurnTaking.csv"
"9",55.3799215096295,99.7464045990708,139122,199,22.6234384209543,3.94856856075553,0.779949518971232,99.817298489583,24.1118222113345,17.974182271689,99.315746345171,33808,184,29.6832110743019,4.15190556812142,0.805680309756672,99.7729710899367,39.3777829857042,"Study2","G1","T3","Synchronous","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G10_T3_Synchronous.csv"
"10",7.51136102569269,99.2462264591803,36655,52,11.587887054972,3.26589721978583,0.830631244835474,99.5268470489275,13.9437933743617,0.00117403441450637,68.1818181818182,15,9,3,0.72012488127181,0.519460297515797,78.7878787878788,3.05882352941176,"Study2","G5","T1","Synchronous","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G5_T1_Synchronous.csv"
"11",12.1144960422228,98.9073619063072,99725,62,6.84596640762095,2.63883001164727,0.655552660832312,99.1096057115041,7.23405380255478,0.00362883364483787,93.6274509803922,40,8,4.775,1.80547645116382,0.927831355440707,98.0392156862745,9.52380952380952,"Study2","G5","T2","TurnTaking","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G5_T2_TurnTaking.csv"
"12",6.06291690659976,98.9049098135481,46133,58,7.40615177855331,2.76231390350266,0.702552493811551,99.1839653091177,8.5187339946794,0.0220931930729835,83.2528180354267,266,12,3.88721804511278,1.67973790165291,0.70050511409226,87.5201288244767,4.13307984790875,"Study2","G5","T3","Conversation","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G5_T3_Conversation.csv"
